country_code,year,protest_count,conflict_count,repression_count,avg_goldstein,avg_tone,total_events
AFG,1990,0.0,6.5,7.53,-8.52,-2.94,0.0
AFG,1991,0.0,5.62,7.85,-8.62,-2.97,0.0
AFG,1992,0.0,9.45,7.93,-8.56,-6.33,0.0
AFG,1993,0.0,7.11,7.79,-8.42,-5.97,0.0
AFG,1994,0.0,7.11,7.79,-8.42,-5.97,0.0
AFG,1995,0.0,7.11,7.79,-8.44,-5.98,1.23
AFG,1996,0.0,7.16,9.21,-9.34,-8.48,1.23
AFG,1997,0.0,7.16,9.21,-9.48,-8.51,1.23
AFG,1998,0.0,6.64,9.21,-9.48,-7.16,2.83
AFG,1999,0.0,6.64,9.21,-9.48,-7.16,2.83
AFG,2000,0.0,6.64,9.21,-9.48,-7.16,5.47
AFG,2001,0.0,6.44,7.85,-8.34,-6.88,1.84
AFG,2002,0.0,3.28,4.16,0.44,1.25,2.19
AFG,2003,0.0,3.28,4.16,0.94,1.38,2.19
AFG,2004,0.0,3.28,4.16,0.8,1.34,2.19
AFG,2005,0.0,3.56,4.46,0.78,-0.15,2.11
AFG,2006,0.0,3.87,4.46,0.72,-1.0,1.74
AFG,2007,0.0,3.87,4.46,0.74,-0.99,1.74
AFG,2008,0.0,3.87,4.48,0.68,-1.06,1.74
AFG,2009,0.0,3.87,4.47,0.8,-1.03,2.11
AFG,2010,0.0,3.92,4.44,0.84,-1.21,1.77
AFG,2011,0.0,3.87,4.48,0.8,-1.07,1.77
AFG,2012,0.0,3.88,4.51,0.7,-1.09,1.75
AFG,2013,0.0,3.92,4.79,0.64,-1.6,1.75
AFG,2014,0.0,3.99,4.88,0.38,-1.74,2.8
AFG,2015,0.0,3.98,5.05,0.32,-2.23,1.37
AFG,2016,0.0,3.98,5.02,-0.1,-2.23,1.37
AFG,2017,0.0,3.95,5.0,0.02,-2.3,1.81
AFG,2018,0.0,3.93,4.88,0.26,-2.07,1.4
AFG,2019,0.0,4.0,5.04,-0.26,-2.28,1.74
AFG,2020,0.0,3.97,4.97,-0.06,-2.18,2.64
AFG,2021,0.0,4.01,7.86,-7.76,-5.21,1.74
AFG,2022,0.0,4.2,9.19,-9.16,-7.7,3.36
AFG,2023,0.0,4.2,9.19,-9.24,-7.72,4.37
AFG,2024,0.0,3.98,9.32,-9.16,-7.65,4.45
AFG,2025,0.0,4.15,8.58,-9.18,-7.23,7.67
AGO,1990,0.0,7.09,7.56,-7.4,-8.22,1.95
AGO,1991,0.0,7.11,7.29,-6.96,-7.24,2.83
AGO,1992,0.0,6.6,6.69,-4.7,-4.16,3.13
AGO,1993,0.0,6.57,6.48,-4.66,-3.85,3.26
AGO,1994,0.0,6.57,6.48,-4.66,-3.85,3.26
AGO,1995,0.0,4.23,6.48,-4.66,-3.85,3.26
AGO,1996,0.0,4.23,6.48,-4.66,-3.85,3.26
AGO,1997,0.0,4.23,6.48,-4.66,-3.85,3.26
AGO,1998,0.0,6.57,6.48,-4.66,-3.85,2.82
AGO,1999,0.0,6.57,6.48,-4.66,-3.85,1.78
AGO,2000,0.0,6.57,6.48,-4.66,-3.85,1.5
AGO,2001,0.0,6.57,6.48,-4.28,-3.76,1.5
AGO,2002,0.0,3.62,6.9,-2.84,-2.51,1.02
AGO,2003,0.0,2.63,6.09,-1.42,-0.32,0.7
AGO,2004,0.0,2.56,5.94,-1.14,-0.25,0.7
AGO,2005,0.0,2.49,5.78,-0.72,-0.15,0.7
AGO,2006,0.0,2.49,5.78,-0.72,-0.15,0.7
AGO,2007,0.0,2.42,5.65,-0.48,-0.09,0.59
AGO,2008,0.0,2.42,5.65,-0.4,-0.07,1.69
AGO,2009,0.0,2.42,5.58,-0.34,0.09,0.67
AGO,2010,1.0,2.42,5.58,-0.08,0.16,1.92
AGO,2011,1.0,2.42,5.62,-0.08,0.08,1.92
AGO,2012,1.0,2.42,5.62,-0.08,0.08,4.12
AGO,2013,1.0,2.43,5.62,-0.14,0.06,1.92
AGO,2014,1.0,2.43,5.62,-0.14,0.06,1.88
AGO,2015,1.0,2.43,5.62,-0.14,0.06,1.88
AGO,2016,1.0,2.43,5.62,-0.04,0.09,2.95
AGO,2017,1.0,2.25,5.24,0.7,0.71,4.57
AGO,2018,1.0,2.03,4.79,2.1,1.06,3.51
AGO,2019,1.0,2.0,4.72,2.2,1.09,3.51
AGO,2020,1.0,2.05,4.72,2.04,0.9,4.31
AGO,2021,1.0,1.95,4.37,1.94,2.11,4.69
AGO,2022,1.0,1.89,4.13,2.1,2.43,4.66
AGO,2023,1.0,1.9,4.13,2.0,2.37,4.27
AGO,2024,1.0,1.81,3.91,2.48,2.48,3.63
AGO,2025,1.0,2.02,3.88,2.48,2.25,4.97
ALB,1990,1.0,3.42,7.02,-7.78,-4.83,7.0
ALB,1991,1.0,2.6,4.22,3.4,0.35,7.07
ALB,1992,1.0,2.26,3.5,4.9,1.92,5.14
ALB,1993,1.0,2.11,3.5,4.76,2.29,4.48
ALB,1994,1.0,2.11,3.65,4.64,1.89,4.48
ALB,1995,1.0,2.11,3.65,5.0,1.98,4.36
ALB,1996,1.0,2.43,3.73,4.92,0.92,4.38
ALB,1997,1.0,3.42,4.04,4.62,-1.49,7.61
ALB,1998,1.0,3.11,3.66,5.12,0.35,6.03
ALB,1999,1.0,2.26,3.38,5.64,2.45,2.95
ALB,2000,1.0,1.48,2.65,6.62,4.16,5.32
ALB,2001,1.0,1.48,2.65,6.72,4.18,4.97
ALB,2002,1.0,1.48,2.65,6.98,4.25,4.59
ALB,2003,1.0,1.48,2.65,7.08,4.27,4.59
ALB,2004,1.0,1.43,2.43,7.2,4.3,5.27
ALB,2005,1.0,1.43,2.43,7.32,4.33,4.98
ALB,2006,1.0,1.43,2.01,7.4,5.39,4.98
ALB,2007,1.0,1.43,2.01,7.42,5.39,4.98
ALB,2008,1.0,1.43,2.01,7.42,5.39,4.98
ALB,2009,1.0,1.55,2.01,7.42,5.07,4.82
ALB,2010,1.0,1.44,2.01,7.44,5.38,5.75
ALB,2011,1.0,1.6,2.01,7.58,4.99,6.56
ALB,2012,1.0,1.65,2.24,7.56,4.28,6.08
ALB,2013,1.0,1.54,1.5,7.86,4.42,5.92
ALB,2014,1.0,1.33,1.5,7.86,5.0,6.1
ALB,2015,1.0,1.33,1.5,7.86,5.0,6.1
ALB,2016,1.0,1.55,1.5,7.86,4.41,5.77
ALB,2017,1.0,1.56,1.63,7.66,4.36,6.96
ALB,2018,1.0,1.56,1.63,7.66,4.36,6.85
ALB,2019,1.0,1.6,1.63,7.82,4.3,7.32
