model,auc_roc,auc_pr,brier,n,n_positive,cv_auc_mean,cv_auc_std,n_features
logistic_polyarchy_gdp,0.598092952691295,0.022072206353297954,0.016638820960414885,6382,108,0.6388395594124644,0.0867118424402626,
xgboost_vdem_indices,0.982828888888889,0.9476658291775931,0.0034984180169820266,6358,108,0.7293580090175005,0.08627109931023978,
random_forest_vdem_indices,0.9526370370370371,0.5206427750350177,0.09880715165725784,6358,108,0.7038984603473568,0.10441585091745367,
aim4d_full,0.9122220559131201,0.5938230455488119,0.01633886172901157,4818,102,0.9043905855134032,0.11789338997528757,
full_meta_learner,0.7942777195695919,0.08502823223002334,0.020785996367822142,4818,102,0.7885233687506324,0.06598069282117985,62.0
without_CSD (univariate + multivariate),0.7803181493123118,0.07008923404299201,0.020449882275257073,4818,102,0.779794273908322,0.07277506161038806,43.0
without_Election vulnerability,0.7757654376424021,0.08424707100553426,0.020793165966103394,4818,102,0.7748926537668286,0.05453419570275884,49.0
without_Military threat,0.7876981157178732,0.08494804075081494,0.02078767746742301,4818,102,0.770787726883147,0.07612974879978854,53.0
without_Network exposure,0.7794159224334348,0.09172865901345309,0.020803667692807015,4818,102,0.7656810421618446,0.0905418098286244,58.0
without_DSP (digital),0.7915980641620516,0.08154033639935195,0.020787881002575368,4818,102,0.7870742327187373,0.06468030883750082,42.0
