metric,point,ci_low,ci_high,n
auc_roc_in_sample,0.9203063290993403,0.9018446596817946,0.9377448835963906,4818
auc_pr_in_sample,0.6002924194922782,0.5343433846937788,0.6630635130687024,4818
auc_roc_strict_oos_2017,0.9813223480279153,0.9647185845566232,0.9939888297177497,1096
in_sample_watch_all,0.918918918918919,0.7809037937619998,0.9829564693041812,37
in_sample_watch_backsliding,0.92,0.7396941578947858,0.9901604099812025,25
in_sample_watch_coup,0.9166666666666666,0.6152038348490559,0.9978924067681397,12
loeo_watch_all,0.7027027027027027,0.530200465005933,0.8412745636203715,37
loeo_watch_backsliding,0.68,0.4649992825026277,0.8505045773864304,25
loeo_watch_coup,0.75,0.4281415381218108,0.9451393554720072,12
auc_fh_3yr_decline_2pt,0.641069754086278,0.5866423653412063,0.6922870483676659,4639
auc_polity_3yr_decline_3pt,0.5493790699822924,0.4935176752354833,0.604974869085903,3714
