bin,mean_predicted,observed_freq,n,n_positive
"(0.0104, 0.0118]",0.011702677819899733,0.0,482,0
"(0.0118, 0.0121]",0.01196067984618074,0.002074688796680498,482,1
"(0.0121, 0.0124]",0.01228209172763452,0.0,482,0
"(0.0124, 0.0127]",0.012599851253505094,0.006237006237006237,481,3
"(0.0127, 0.0131]",0.012897903810251044,0.004149377593360996,482,2
"(0.0131, 0.0137]",0.013364119398035041,0.01037344398340249,482,5
"(0.0137, 0.0145]",0.014066349300368703,0.002079002079002079,481,1
"(0.0145, 0.0161]",0.015174373417564264,0.01037344398340249,482,5
"(0.0161, 0.0219]",0.01814231509098595,0.014522821576763486,482,7
"(0.0219, 0.437]",0.06351749615705966,0.16182572614107885,482,78
