csd_threshold,risk_percentile,risk_threshold,detection_rate,detections,precision,f1,n_alerts
1.0,90,0.019457629534728935,1.0,17/17,0.027218290691344585,0.05299417064122947,3674
1.0,92,0.02235855211992236,1.0,17/17,0.02698282910874898,0.05254777070063694,3669
1.0,94,0.02657221147385326,1.0,17/17,0.026754026754026754,0.05211379952140389,3663
1.0,95,0.02985130144810383,1.0,17/17,0.026761332605133806,0.05212765957446808,3662
1.0,96,0.035241445419854835,1.0,17/17,0.026775956284153007,0.05215540180947313,3660
1.0,98,0.06631472723427607,1.0,17/17,0.026775956284153007,0.05215540180947313,3660
1.5,90,0.019457629534728935,0.9411764705882353,16/17,0.03334541500543675,0.06440885621772995,2759
1.5,92,0.02235855211992236,0.9411764705882353,16/17,0.03275109170305677,0.06329948569167876,2748
1.5,94,0.02657221147385326,0.9411764705882353,16/17,0.03252923976608187,0.06288502726931484,2736
1.5,95,0.02985130144810383,0.9411764705882353,16/17,0.03261267863686332,0.06304092790579277,2729
1.5,96,0.035241445419854835,0.9411764705882353,16/17,0.03267254038179148,0.0631527596070692,2724
1.5,98,0.06631472723427607,0.9411764705882353,16/17,0.03131908621960206,0.06062091867436314,2714
2.0,90,0.019457629534728935,0.8823529411764706,15/17,0.04172461752433936,0.07968127490039842,2157
2.0,92,0.02235855211992236,0.8823529411764706,15/17,0.04114071996259935,0.07861588398201363,2139
2.0,94,0.02657221147385326,0.8823529411764706,15/17,0.0406235238545111,0.07767107204142458,2117
2.0,95,0.02985130144810383,0.8823529411764706,15/17,0.04081632653061224,0.07802340702210663,2107
2.0,96,0.035241445419854835,0.8823529411764706,15/17,0.04097189137684612,0.07830758490909644,2099
2.0,98,0.06631472723427607,0.8823529411764706,15/17,0.03942307692307692,0.07547401362213904,2080
2.5,90,0.019457629534728935,0.8823529411764706,15/17,0.0467436974789916,0.08878395903301965,1904
2.5,92,0.02235855211992236,0.8823529411764706,15/17,0.04617834394904458,0.08776354282255622,1884
2.5,94,0.02657221147385326,0.8823529411764706,15/17,0.04577275175013463,0.08703071672354949,1857
2.5,95,0.02985130144810383,0.8823529411764706,15/17,0.0460205739036275,0.08747855917667238,1847
2.5,96,0.035241445419854835,0.8823529411764706,15/17,0.04627109417528579,0.08793103448275862,1837
2.5,98,0.06631472723427607,0.8823529411764706,15/17,0.04460352422907489,0.08491456127476675,1816
3.0,90,0.019457629534728935,0.8823529411764706,15/17,0.054037644201578625,0.1018384316118697,1647
3.0,92,0.02235855211992236,0.8823529411764706,15/17,0.05377008652657602,0.10136315973435862,1618
3.0,94,0.02657221147385326,0.8823529411764706,15/17,0.053593947036569986,0.10105012878937983,1586
3.0,95,0.02985130144810383,0.8823529411764706,15/17,0.0540368722186904,0.1018370607028754,1573
3.0,96,0.035241445419854835,0.8823529411764706,15/17,0.05445227418321589,0.10257441673370878,1561
3.0,98,0.06631472723427607,0.8823529411764706,15/17,0.05201560468140442,0.09823986901350798,1538
