seed,alpha_contig,alpha_alliance,alpha_trade
0,0.3162662386894226,0.3523847162723541,0.3313490152359009
1,0.32990479469299316,0.3764961063861847,0.29359906911849976
2,0.3218156695365906,0.38749486207962036,0.29068949818611145
3,0.31090065836906433,0.37120744585990906,0.3178918957710266
4,0.3305032253265381,0.3657369315624237,0.3037598729133606
5,0.3097684383392334,0.39759641885757446,0.29263511300086975
6,0.29712945222854614,0.3638560473918915,0.3390144407749176
7,0.3348971903324127,0.3800494372844696,0.28505340218544006
8,0.33334168791770935,0.35290879011154175,0.3137494921684265
9,0.33162030577659607,0.3590971529483795,0.309282511472702
