indicator,factor_1,factor_2,factor_3,factor_4
v2x_polyarchy,0.8957645868637758,0.34074932036471506,0.10739854358434016,0.039076079852836246
v2x_libdem,0.8667482398942977,0.4395557324771164,0.008597416404682406,0.033889002168624026
v2x_partipdem,0.8648116192930478,0.40278253670752917,0.04466395038284362,0.13270856225999772
v2x_delibdem,0.8769474294941525,0.39796575549122665,0.0218200268785994,0.04365431323160997
v2x_egaldem,0.7943029335953672,0.5555005342276063,0.051860561406868615,0.0514858075363521
v2x_api,0.9249809153960125,0.19526762703884332,0.22455247682669902,0.0043155124100003606
v2x_mpi,0.8259667653764988,0.44934647769726266,0.0007652155953780937,0.06706765443436409
v2x_freexp_altinf,0.9674059990096595,0.09050031132577557,0.06401869833859414,0.0017294687697771757
v2x_frassoc_thick,0.9440798421134372,0.06698770055005843,0.1375456566412421,-0.017375627962915433
v2x_suffr,0.18283109210744575,-0.013423010300859739,0.4238722112728072,0.02246338403811661
v2xel_frefair,0.7887488258670942,0.46638001788417466,0.12790311511774163,0.00435301861325859
v2x_elecoff,0.5052114177513625,0.007836096503521572,0.5347127945617913,0.031662499643923814
v2x_liberal,0.9021971462112631,0.3386378996064513,0.04072611570082059,-0.041299818890837524
v2xcl_rol,0.8761476556112359,0.32755514635436206,0.1257595156103739,0.0019485846795300014
v2x_jucon,0.8135250527312409,0.35953716213527537,-0.08553580031773567,-0.08040839923331991
v2xlg_legcon,0.8578056005444727,0.24339043145845954,-0.04266856234442305,-0.022176803039998742
v2x_partip,0.8453649668483798,0.21522665448650646,0.15101224714698136,0.1578895563626146
v2x_cspart,0.9138001963731393,0.12315653331871212,0.06525418383033496,0.008710668754774685
v2xdd_dd,0.15122062224262017,0.15313008027782274,0.1424146857231411,0.736955695302649
v2xel_locelec,0.67774594120719,0.2367244227352379,0.17168915329986545,0.0347335770753098
v2xel_regelec,0.4854054368887416,0.15605947666095604,0.005576086851317431,0.12113964218251254
v2xdl_delib,0.8821584218551584,0.22605265608014097,0.06621123555358148,-0.02611015275906987
v2x_egal,0.6067775260848487,0.6689808072328545,0.18615703947634915,0.004209323914242558
v2xeg_eqprotec,0.5939311854838214,0.5265946798211645,0.17537076099753368,0.007138837370012738
