country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_full_4,nscm_resid_domestic_4
AFG,1990,-2.9823077e-06,-5.523742e-07,-0.00069082296,-0.00018938612,-0.00069656025,-0.0021341841,0.56838465,0.7066628,-0.5669942,-0.70433867
ALB,1990,-1.5561265e-05,-1.5245017e-05,-0.001093362,-0.0029742764,-0.002286864,-0.0024955936,0.45840704,0.5373512,-0.45501122,-0.531866
ARE,1990,-1.3361751e-05,-5.1661946e-06,-0.0030278815,-0.00613742,-6.462138e-05,-5.5322707e-05,0.7663755,0.7981317,-0.7632696,-0.7919338
ARG,1990,-0.03174663,-0.19635807,0.20841306,0.19890344,-0.6942334,-0.62475586,0.5194744,0.6301775,-0.0019074832,-0.007966996
ARM,1990,-0.00053122756,-0.007571049,-0.026007071,-0.04768175,-0.37603793,-0.4069936,-0.38096344,-0.26505488,-0.21646024,-0.2726987
AUS,1990,0.21767813,0.15274143,-0.20798919,-0.1246503,-0.0060227998,-0.019260097,-0.0034849697,-0.0041139177,-0.00018122664,-0.004717116
AZE,1990,-0.00050605915,-0.007984363,-0.024872135,-0.0496088,-0.35510528,-0.39977926,-0.4270732,-0.26997572,-0.19244325,-0.27265185
BDI,1990,-7.933622e-06,-5.933235e-06,-0.0023708541,-0.0025728042,-0.00031625363,-0.00044873988,-0.5635506,-0.38961744,0.56624556,0.39264494
BEL,1990,0.059519827,0.048756897,-0.042140633,-0.023207672,-0.010567946,-0.022102347,-0.0066610756,-0.002095663,-0.00015029508,-0.0013512068
BEN,1990,-0.0003529576,-0.001305691,-0.06334905,-0.08489839,-0.026623126,-0.03909378,0.16515023,0.2329477,-0.07482506,-0.10764996
BFA,1990,-3.7756647e-05,-4.0908173e-05,-0.008534362,-0.011486191,-0.0015696606,-0.0042931605,0.34662855,0.45836702,-0.33648682,-0.44254673
BGD,1990,-5.4305245e-05,-8.4823776e-05,-0.0027334872,-0.0014024376,-0.16132088,-0.34119895,0.3416921,0.6479349,-0.17758337,-0.3052487
BGR,1990,-0.12441576,-0.5225371,-0.054458153,-0.10899801,-0.06315896,-0.09053429,0.24359637,0.73728645,-0.0015634045,-0.015216924
BHR,1990,-6.126454e-06,-4.918898e-07,-0.0015538605,-0.00095554744,-7.740529e-05,-0.000102959355,-0.28647602,-0.26454303,0.28811342,0.265602
BIH,1990,-0.0008182554,-0.0079968795,-0.033208936,-0.051919293,-0.37352002,-0.39612105,-0.31303942,-0.29062623,-0.27941337,-0.25333658
BLR,1990,-0.0004634147,-0.006803623,-0.021624992,-0.04866642,-0.36679164,-0.4063551,-0.41005403,-0.28996426,-0.20106591,-0.24821058
